1,abandon,-0.75
2,abandoned,-0.50
3,abandoner,-0.25
4,abandonment,-0.25
5,abandons,-1.00
6,abducted,-1.00
7,abduction,-0.50
8,abductions,-1.00
9,aberrant,-0.60
10,aberration,-0.80
11,abhor,-0.50
12,abhorred,-1.00
13,abhorrent,-0.50
14,abhors,-1.00
15,abilities,0.60
16,ability,0.50
17,abject,-1.00
18,ablaze,-0.25
19,abnormal,-0.50
20,aboard,0.25
21,abolish,-0.50
22,abominable,-0.50
23,abominably,-1.00
24,abominate,-1.00
25,abomination,-0.50
26,abort,-0.50
27,aborted,-0.80
28,abortion,-0.80
29,abortive,-1.00
30,aborts,-0.60
31,abound,0.25
32,abounds,0.25
33,abrasion,-0.60
34,abrasive,-0.50
35,abrogate,-0.40
36,abrupt,-0.25
37,abruptly,-0.25
38,abscess,-0.50
39,abscond,-1.00
40,absence,-0.50
41,absent,-0.60
42,absentee,-0.75
43,absenteeism,-1.00
44,absentees,-0.60
45,absentminded,-0.80
46,absolute,-0.25
47,absolution,0.10
48,absolve,1.00
49,absolved,1.00
50,absolves,1.00
51,absolving,1.00
52,absorbed,0.50
53,abstinence,-0.25
54,abstractedly,-0.25
55,abstraction,-0.25
56,absurd,-0.75
57,absurdity,-0.50
58,absurdly,-0.80
59,absurdness,-0.80
60,abundance,0.60
61,abundant,0.50
62,abuse,-1.00
63,abused,-0.75
64,abuses,-0.50
65,abusive,-0.50
66,abysmal,-0.50
67,abysmally,-1.00
68,abyss,-0.75
69,academic,0.40
70,academy,0.40
71,accentuated,0.25
72,accept,1.00
73,acceptable,0.50
74,acceptance,0.80
75,accepted,0.80
76,accepting,0.60
77,accepts,0.80
78,accessable,0.80
79,accessible,0.75
80,accident,-0.50
81,accidental,-1.00
82,accidentally,-0.60
83,accidents,-0.60
84,acclaim,0.60
85,acclaimed,0.60
86,acclamation,0.60
87,accolade,0.50
88,accolades,0.60
89,accommodation,0.40
90,accommodative,0.80
91,accompaniment,0.60
92,accompany,0.40
93,accompanying,0.25
94,accomplish,0.75
95,accomplished,0.75
96,accomplishes,0.80
97,accomplishment,0.50
98,accomplishments,1.00
99,accord,0.80
100,accordingly,0.25
101,accost,-0.80
102,accosted,-0.80
